時間戳記,你的名字，暱稱也可以哦！,有舉辦的話你會來參加嗎？,你希望參加的場次是？,你希望的時間是？,你希望的時間是？
2015/1/4 下午 11:13:04,NM,如果是可以的時間，一定會！,台南場,,"1/24 (六) 下午, 1/25 (日) 下午"
2015/1/4 下午 11:40:55,lamdba,如果是可以的時間，一定會！,台南場,,"1/10 (六) 早上, 1/10 (六) 下午, 1/10 (六) 晚上, 1/11 (日) 早上, 1/11 (日) 下午, 1/11 (日) 晚上, 1/17 (六) 早上, 1/17 (六) 晚上, 1/24 (六) 早上, 1/24 (六) 下午, 1/24 (六) 晚上, 1/25 (日) 早上, 1/25 (日) 下午, 1/25 (日) 晚上"
2015/1/4 下午 11:49:42,king,如果是可以的時間，一定會！,台南場,,"1/24 (六) 下午, 1/24 (六) 晚上"
2015/1/7 上午 12:06:57,Moon,如果是可以的時間，一定會！,台南場,,"1/10 (六) 下午, 1/11 (日) 下午, 1/24 (六) 下午, 1/25 (日) 下午"
2015/1/7 上午 10:48:35,張X,如果是可以的時間，一定會！,台南場,,"1/10 (六) 早上, 1/10 (六) 下午, 1/10 (六) 晚上, 1/11 (日) 早上, 1/11 (日) 下午, 1/11 (日) 晚上, 1/17 (六) 早上, 1/17 (六) 下午, 1/17 (六) 晚上, 1/18 (日) 早上, 1/18 (日) 下午, 1/18 (日) 晚上, 1/24 (六) 早上, 1/24 (六) 下午, 1/24 (六) 晚上, 1/25 (日) 早上, 1/25 (日) 下午, 1/25 (日) 晚上"
2015/1/7 下午 10:57:01,Ken,如果是可以的時間，一定會！,台南場,,"1/10 (六) 晚上, 1/11 (日) 晚上, 1/17 (六) 晚上, 1/18 (日) 晚上, 1/24 (六) 晚上, 1/25 (日) 晚上"
2015/1/8 上午 1:05:28,who,如果是可以的時間，一定會！,台南場,,"1/18 (日) 早上, 1/18 (日) 下午, 1/18 (日) 晚上, 1/24 (六) 早上, 1/24 (六) 下午, 1/24 (六) 晚上, 1/25 (日) 早上, 1/25 (日) 下午, 1/25 (日) 晚上"
2015/1/8 下午 5:00:50,海豹,再看看,台南場,,"1/11 (日) 下午, 1/11 (日) 晚上, 1/18 (日) 下午, 1/18 (日) 晚上, 1/25 (日) 下午, 1/25 (日) 晚上"
2015/1/4 下午 7:38:59,And,如果是可以的時間，一定會！,高雄場,"1/10 (六) 早上, 1/10 (六) 下午, 1/10 (六) 晚上, 1/11 (日) 早上, 1/11 (日) 下午, 1/11 (日) 晚上, 1/17 (六) 早上, 1/17 (六) 下午, 1/17 (六) 晚上, 1/18 (日) 早上, 1/18 (日) 下午, 1/18 (日) 晚上","1/10 (六) 早上, 1/10 (六) 下午, 1/10 (六) 晚上, 1/11 (日) 早上, 1/11 (日) 下午, 1/11 (日) 晚上, 1/17 (六) 早上, 1/17 (六) 下午, 1/17 (六) 晚上, 1/18 (日) 早上, 1/18 (日) 下午, 1/18 (日) 晚上"
2015/1/4 下午 10:16:19,張XX,如果是可以的時間，一定會！,高雄場,"1/17 (六) 早上, 1/17 (六) 下午, 1/18 (日) 早上, 1/18 (日) 下午, 1/24 (六) 早上, 1/24 (六) 下午, 1/25 (日) 早上, 1/25 (日) 下午","1/17 (六) 下午, 1/18 (日) 下午, 1/24 (六) 下午, 1/25 (日) 下午"
2015/1/4 下午 11:25:41,null,如果是可以的時間，一定會！,高雄場,"1/17 (六) 晚上, 1/18 (日) 早上, 1/18 (日) 下午","1/17 (六) 晚上, 1/18 (日) 早上, 1/18 (日) 下午, 1/18 (日) 晚上"
2015/1/4 下午 11:39:58,She,如果是可以的時間，一定會！,高雄場,1/10 (六) 早上,1/10 (六) 下午
2015/1/5 上午 11:33:06,www,如果是可以的時間，一定會！,高雄場,1/25 (日) 晚上,
